TEXT_REMARKS,ACTION_CATEGORY,,,,,,,,,
Consumer want Some time for meter testing as he is not available for meter testing At the time of visit premises found locked,Back-Office / Administrative Operations,,,,,,,,,
Consumer going to Village Consumer want some time in week,Back-Office / Administrative Operations,,,,,,,,,
as per telephonic talk with consumer consumer not available at site consumer want some time for meter testing,Back-Office / Administrative Operations,,,,,,,,,
No person at side and no response on said phone at the time of testing so meter could not be test,Back-Office / Administrative Operations,,,,,,,,,
No person at side and no response on said phone at the time of testing so meter could not be test,Back-Office / Administrative Operations,,,,,,,,,
Premises found locked no person at side and no response on said phone at the time of testing so meter could not be test,Back-Office / Administrative Operations,,,,,,,,,
No person at side and no response on said phone at the time of testing so meter could not be test,Back-Office / Administrative Operations,,,,,,,,,
No person at side and no response on said phone at the time of testing,Back-Office / Administrative Operations,,,,,,,,,
Premises found locked no person at side at the time of testing no response on said phone,Back-Office / Administrative Operations,,,,,,,,,
No person at site and no response on given phone number,Back-Office / Administrative Operations,,,,,,,,,
No person at side and no response on said phone at the time of testing so meter could not be test,Back-Office / Administrative Operations,,,,,,,,,AA8174932
No person at site and no response on given phone number,Back-Office / Administrative Operations,,,,,,,,,AA8174933
No person at side and no response on said phone at the time of testing so meter could not be test,Back-Office / Administrative Operations,,,,,,,,,AA8174934
No person at side and no response on said phone at the time of testing so meter could not be test,Back-Office / Administrative Operations,,,,,,,,,AA8174935
no person ar site no response on call,Back-Office / Administrative Operations,,,,,,,,,
No person at side and no response on said phone at the time of testing so meter could not be test,Back-Office / Administrative Operations,,,,,,,,,
No person at side and no response on said phone at the time of testing so meter could not be test,Back-Office / Administrative Operations,,,,,,,,,
Premises found locked no person at side and no response on said phone at the time of testing so meter could not be test,Back-Office / Administrative Operations,,,,,,,,,
No person at side and no response on said phone at the time of testing so meter could not be test,Back-Office / Administrative Operations,,,,,,,,,
no person at site no response on phone,Back-Office / Administrative Operations,,,,,,,,,
No person at side and no response on said phone at the time of testing so meter could not be test,Back-Office / Administrative Operations,,,,,,,,,
no person at site and no response on given phone number,Back-Office / Administrative Operations,,,,,,,,,
No person at side and no response on said phone at the time of testing so meter could not be test,Back-Office / Administrative Operations,,,,,,,,,
no responsible person At site and mobile number Available but Consumer not proper Response So Meter Could not be Tested,Back-Office / Administrative Operations,,,,,,,,,
No person at side and no response on said phone at the time of testing so meter could not be test,Back-Office / Administrative Operations,,,,,,,,,
no person at site no response on call,Back-Office / Administrative Operations,,,,,,,,,
No person at site and no response on given phone number,Back-Office / Administrative Operations,,,,,,,,,
No person at site and no response on given phone number,Back-Office / Administrative Operations,,,,,,,,,
Premises found locked no person at side and no response on said phone at the time of testing so meter could not be test,Back-Office / Administrative Operations,,,,,,,,,
No person at side and no response on said phone at the time of testing so meter could not be test,Back-Office / Administrative Operations,,,,,,,,,
No person at side and no response on said phone at the time of testing so meter could not be test,Back-Office / Administrative Operations,,,,,,,,,
No person at site and no response on given phone number,Back-Office / Administrative Operations,,,,,,,,,
no person at site and no response on given phone number,Back-Office / Administrative Operations,,,,,,,,,
no person at site no response on call,Back-Office / Administrative Operations,,,,,,,,,
time visit but no person at site no response on call,Back-Office / Administrative Operations,,,,,,,,,
No person at side and no response on said phone at the time of testing so meter could not be test,Back-Office / Administrative Operations,,,,,,,,,
No response on said phone at the time of testing so meter could not be test,Back-Office / Administrative Operations,,,,,,,,,
Premises found locked no person at side and no response on said phone at the time of testing so meter could not be test,Back-Office / Administrative Operations,,,,,,,,,
premises found locked and N person at side and no response on said phone at the time of testing so meter could not be test,Back-Office / Administrative Operations,,,,,,,,,
